image_urls,images,name
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/salman-Khan-header-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/02/salman-Khan-header-322x215.jpg', 'path': 'full/78053768f343029f2f71f3ce46a3f7a729c38efa.jpg', 'checksum': 'beffd6a56e1d87dae10a172f59218767'}]",Salman Khan
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/115-322x215.png,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/115-322x215.png', 'path': 'full/8ec6fbfd4ba1ec1aa5818eccbcab676b68d41d35.jpg', 'checksum': '68cb00ebde22100af5d5eb82b0b9790b'}]",Kareena Kapoor Khan
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Akshay-Kumar-Header-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Akshay-Kumar-Header-322x215.jpg', 'path': 'full/ded822dd55426e0fce65fd8ef57772dd7a67a3d5.jpg', 'checksum': 'deba992be66c5887fb33feff8beefb5f'}]",Akshay Kumar
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/saif54-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/saif54-322x215.jpg', 'path': 'full/4191ae0bd5b370d0e1c450d9a7525e7ca9b2441f.jpg', 'checksum': '3695caaf34eb047071a6a31042a3a94c'}]",Saif Ali Khan
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Aamir-Khan-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Aamir-Khan-322x215.jpg', 'path': 'full/0e92af36cacb1507072f1446d77ee0df157f5761.jpg', 'checksum': '89bab944a2ba8bc612f3ea89e57a926c'}]",Aamir Khan
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Dabboo-Hrithik-00052-copy2368281-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Dabboo-Hrithik-00052-copy2368281-322x215.jpg', 'path': 'full/72591e83d829bb65f09d5f9fb995a75df20ad511.jpg', 'checksum': 'd6771f63153516abd7859f186c1c3d36'}]",Hrithik Roshan
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/ranveer-singh-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/ranveer-singh-322x215.jpg', 'path': 'full/5b30c648f4a5e95ab850c6c1c0d20a8a5a960ed6.jpg', 'checksum': 'b33e045f0e1807d0f7c927cdf17362e0'}]",Ranveer Singh
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Shraddha-Kapoor1-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Shraddha-Kapoor1-322x215.jpg', 'path': 'full/9c32f8e52a51c2536bebf8b59d1c678e3be67825.jpg', 'checksum': '45c8b246294c21094c30d84812ae0219'}]",Shraddha Kapoor
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Alia-Bhatt-1-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Alia-Bhatt-1-322x215.jpg', 'path': 'full/ec37759828eed12d8d6463e7da019a259052afe0.jpg', 'checksum': '3d9f28ec92a4b549a43ccb8343162229'}]",Alia Bhatt
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Sanjay-Dutt-HD-Wallpapers-2-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Sanjay-Dutt-HD-Wallpapers-2-322x215.jpg', 'path': 'full/a8c12ffd5c6bfc12c6dcfa634b88f58e0468cc99.jpg', 'checksum': 'b5f652d5b367cdf5f94f1cbec09d4492'}]",Sanjay Dutt
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/vidya-balan-48a-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/vidya-balan-48a-322x215.jpg', 'path': 'full/0c470d6295daaad3ca18e34bdece7ace8c63a153.jpg', 'checksum': 'ae91b76a2fa7bb572d2df1be71ace4f4'}]",Vidya Balan
